Target Distance:50, Step size:1
2588: (x,y)=(-21.7983,1.80485)
2589: (x,y)=(-21.8157,0.805002)
2590: (x,y)=(-22.0065,-0.176625)
2591: (x,y)=(-21.061,-0.502193)
2592: (x,y)=(-20.0635,-0.432437)
2593: (x,y)=(-20.9115,-0.962356)
2594: (x,y)=(-21.6995,-1.57802)
2595: (x,y)=(-22.6777,-1.78593)
2596: (x,y)=(-22.5385,-2.7762)
2597: (x,y)=(-23.5233,-2.94985)
2598: (x,y)=(-22.5417,-2.75904)
2599: (x,y)=(-23.5319,-2.89821)
2600: (x,y)=(-24.4979,-2.63939)
2601: (x,y)=(-24.7735,-1.67813)
2602: (x,y)=(-25.7612,-1.83456)
2603: (x,y)=(-25.202,-1.00553)
2604: (x,y)=(-24.202,-1.00553)
2605: (x,y)=(-23.5073,-1.72487)
2606: (x,y)=(-22.5676,-2.06689)
2607: (x,y)=(-23.474,-2.4895)
2608: (x,y)=(-24.4303,-2.78188)
2609: (x,y)=(-25.3638,-2.42351)
2610: (x,y)=(-24.6325,-3.10551)
2611: (x,y)=(-24.737,-4.10003)
2612: (x,y)=(-25.5851,-4.62995)
2613: (x,y)=(-25.0851,-5.49597)
2614: (x,y)=(-25.1722,-6.49217)
2615: (x,y)=(-26.1058,-6.1338)
2616: (x,y)=(-25.4367,-6.87694)
2617: (x,y)=(-24.5162,-7.26768)
2618: (x,y)=(-23.5706,-7.59324)
2619: (x,y)=(-24.1006,-6.7452)
2620: (x,y)=(-24.2224,-5.75265)
2621: (x,y)=(-25.1134,-5.29866)
2622: (x,y)=(-24.1522,-5.5743)
2623: (x,y)=(-24.3258,-4.58949)
2624: (x,y)=(-24.6514,-3.64397)
2625: (x,y)=(-25.0581,-4.55752)
2626: (x,y)=(-25.1453,-3.56132)
2627: (x,y)=(-25.536,-2.64082)
2628: (x,y)=(-26.036,-1.77479)
2629: (x,y)=(-26.718,-2.50614)
2630: (x,y)=(-26.718,-3.50614)
2631: (x,y)=(-27.7125,-3.61067)
2632: (x,y)=(-26.7854,-3.98528)
2633: (x,y)=(-26.1034,-4.71663)
2634: (x,y)=(-25.3373,-4.07384)
2635: (x,y)=(-26.0687,-4.75584)
2636: (x,y)=(-26.5687,-5.62187)
2637: (x,y)=(-26.7078,-6.61214)
2638: (x,y)=(-26.9328,-7.58651)
2639: (x,y)=(-26.1342,-6.98469)
2640: (x,y)=(-25.4028,-7.66669)
2641: (x,y)=(-26.1688,-7.0239)
2642: (x,y)=(-25.3028,-7.5239)
2643: (x,y)=(-26.2425,-7.86592)
2644: (x,y)=(-27.0716,-7.30673)
2645: (x,y)=(-26.077,-7.2022)
2646: (x,y)=(-25.8182,-8.16813)
2647: (x,y)=(-25.3334,-9.04275)
2648: (x,y)=(-24.3553,-8.83484)
2649: (x,y)=(-24.1816,-9.81964)
2650: (x,y)=(-25.0562,-10.3045)
2651: (x,y)=(-24.1652,-10.7584)
2652: (x,y)=(-24.808,-11.5245)
2653: (x,y)=(-24.0533,-12.1805)
2654: (x,y)=(-23.2052,-12.7105)
2655: (x,y)=(-22.7358,-11.8275)
2656: (x,y)=(-23.5648,-12.3867)
2657: (x,y)=(-24.5392,-12.1618)
2658: (x,y)=(-25.0542,-13.0189)
2659: (x,y)=(-26.0487,-13.1235)
2660: (x,y)=(-25.5487,-13.9895)
2661: (x,y)=(-25.9871,-13.0907)
2662: (x,y)=(-25.7115,-14.0519)
2663: (x,y)=(-26.7113,-14.0694)
2664: (x,y)=(-27.6895,-14.2773)
2665: (x,y)=(-28.6743,-14.1037)
2666: (x,y)=(-29.1743,-13.2376)
2667: (x,y)=(-28.213,-13.5133)
2668: (x,y)=(-28.6356,-12.607)
2669: (x,y)=(-29.1204,-13.4816)
2670: (x,y)=(-28.8955,-12.5072)
2671: (x,y)=(-29.6726,-13.1365)
2672: (x,y)=(-28.8066,-13.6365)
2673: (x,y)=(-29.6453,-13.0919)
2674: (x,y)=(-30.5113,-12.5919)
2675: (x,y)=(-29.5332,-12.7998)
2676: (x,y)=(-30.4842,-13.1088)
2677: (x,y)=(-29.523,-13.3845)
2678: (x,y)=(-30.5046,-13.1937)
2679: (x,y)=(-31.3336,-13.7528)
2680: (x,y)=(-30.4131,-13.3621)
2681: (x,y)=(-29.6818,-14.0441)
2682: (x,y)=(-28.9871,-13.3248)
2683: (x,y)=(-27.9877,-13.3597)
2684: (x,y)=(-27.2446,-12.6905)
2685: (x,y)=(-27.9639,-11.9959)
2686: (x,y)=(-28.5657,-12.7945)
2687: (x,y)=(-28.9725,-11.881)
2688: (x,y)=(-29.077,-12.8755)
2689: (x,y)=(-29.0247,-11.8769)
2690: (x,y)=(-29.4941,-12.7598)
2691: (x,y)=(-29.1034,-11.8393)
2692: (x,y)=(-28.3263,-12.4686)
2693: (x,y)=(-28.8413,-11.6115)
2694: (x,y)=(-29.6399,-12.2133)
2695: (x,y)=(-28.9206,-12.9079)
2696: (x,y)=(-27.9547,-13.1668)
2697: (x,y)=(-27.5801,-14.0939)
2698: (x,y)=(-26.8487,-14.7759)
2699: (x,y)=(-26.4903,-15.7095)
2700: (x,y)=(-25.7957,-16.4289)
2701: (x,y)=(-26.0206,-17.4032)
2702: (x,y)=(-25.0503,-17.1613)
2703: (x,y)=(-24.2023,-17.6912)
2704: (x,y)=(-23.3363,-18.1912)
2705: (x,y)=(-23.8057,-17.3083)
2706: (x,y)=(-24.4075,-18.1069)
2707: (x,y)=(-23.5329,-18.5917)
2708: (x,y)=(-22.6943,-19.1364)
2709: (x,y)=(-23.0363,-20.0761)
2710: (x,y)=(-23.7183,-19.3447)
2711: (x,y)=(-23.3599,-20.2783)
2712: (x,y)=(-24.0792,-20.9729)
2713: (x,y)=(-23.1804,-21.4113)
2714: (x,y)=(-22.4611,-20.7167)
2715: (x,y)=(-23.3747,-21.1234)
2716: (x,y)=(-24.0567,-20.392)
2717: (x,y)=(-24.2646,-21.3702)
2718: (x,y)=(-24.9337,-20.627)
2719: (x,y)=(-25.5355,-21.4257)
2720: (x,y)=(-26.5349,-21.3908)
2721: (x,y)=(-27.1227,-20.5818)
2722: (x,y)=(-26.2164,-21.0044)
2723: (x,y)=(-25.9576,-20.0385)
2724: (x,y)=(-26.3322,-20.9656)
2725: (x,y)=(-25.3474,-20.792)
2726: (x,y)=(-24.6782,-21.5351)
2727: (x,y)=(-25.1782,-20.6691)
2728: (x,y)=(-24.5626,-21.4571)
2729: (x,y)=(-25.2939,-22.1391)
2730: (x,y)=(-25.086,-21.161)
2731: (x,y)=(-25.7153,-21.9381)
2732: (x,y)=(-26.1537,-22.8369)
2733: (x,y)=(-27.1318,-23.0448)
2734: (x,y)=(-26.3332,-22.443)
2735: (x,y)=(-25.9425,-21.5225)
2736: (x,y)=(-25.4885,-20.6315)
2737: (x,y)=(-24.5975,-20.1775)
2738: (x,y)=(-25.4546,-20.6925)
2739: (x,y)=(-25.2467,-19.7144)
2740: (x,y)=(-24.7317,-20.5716)
2741: (x,y)=(-23.8407,-21.0256)
2742: (x,y)=(-24.0995,-20.0596)
2743: (x,y)=(-23.6611,-20.9584)
2744: (x,y)=(-24.146,-20.0838)
2745: (x,y)=(-23.8871,-21.0497)
2746: (x,y)=(-23.18,-21.7568)
2747: (x,y)=(-24.1776,-21.8266)
2748: (x,y)=(-25.1752,-21.7568)
2749: (x,y)=(-25.777,-20.9582)
2750: (x,y)=(-26.565,-21.5739)
2751: (x,y)=(-27.5595,-21.6784)
2752: (x,y)=(-28.2286,-22.4215)
2753: (x,y)=(-28.5376,-21.4705)
2754: (x,y)=(-28.3812,-22.4582)
2755: (x,y)=(-28.3812,-21.4582)
2756: (x,y)=(-28.2248,-22.4459)
2757: (x,y)=(-28.9319,-21.7387)
2758: (x,y)=(-29.9167,-21.5651)
2759: (x,y)=(-29.1506,-22.2079)
2760: (x,y)=(-28.5629,-23.0169)
2761: (x,y)=(-28.3379,-23.9913)
2762: (x,y)=(-29.3038,-23.7325)
2763: (x,y)=(-29.4603,-24.7201)
2764: (x,y)=(-30.3939,-25.0785)
2765: (x,y)=(-30.7029,-24.1275)
2766: (x,y)=(-31.6877,-23.9538)
2767: (x,y)=(-30.8685,-24.5274)
2768: (x,y)=(-29.9073,-24.803)
2769: (x,y)=(-30.4665,-25.6321)
2770: (x,y)=(-29.5268,-25.9741)
2771: (x,y)=(-30.5268,-25.9741)
2772: (x,y)=(-30.0884,-25.0753)
2773: (x,y)=(-29.5438,-25.914)
2774: (x,y)=(-29.3188,-24.9396)
2775: (x,y)=(-29.9066,-24.1306)
2776: (x,y)=(-29.3916,-24.9877)
2777: (x,y)=(-29.8916,-24.1217)
2778: (x,y)=(-30.6463,-23.4656)
2779: (x,y)=(-31.4343,-24.0813)
2780: (x,y)=(-30.4832,-23.7723)
2781: (x,y)=(-30.674,-22.7907)
2782: (x,y)=(-29.674,-22.7907)
2783: (x,y)=(-30.4172,-23.4598)
2784: (x,y)=(-29.5881,-24.019)
2785: (x,y)=(-30.3868,-24.6208)
2786: (x,y)=(-30.6624,-23.6595)
2787: (x,y)=(-29.7419,-24.0503)
2788: (x,y)=(-29.8464,-23.0558)
2789: (x,y)=(-28.9893,-23.5708)
2790: (x,y)=(-29.8639,-24.0556)
2791: (x,y)=(-28.9184,-24.3812)
2792: (x,y)=(-29.8519,-24.7395)
2793: (x,y)=(-29.9738,-23.747)
2794: (x,y)=(-30.9714,-23.6772)
2795: (x,y)=(-30.8668,-22.6827)
2796: (x,y)=(-30.1722,-23.4021)
2797: (x,y)=(-29.6275,-24.2407)
2798: (x,y)=(-30.5935,-23.9819)
2799: (x,y)=(-29.7025,-24.4359)
2800: (x,y)=(-30.6297,-24.0613)
2801: (x,y)=(-30.1757,-23.1703)
2802: (x,y)=(-29.4563,-22.4756)
2803: (x,y)=(-29.3866,-21.4781)
2804: (x,y)=(-29.2301,-20.4904)
2805: (x,y)=(-29.6209,-19.5699)
2806: (x,y)=(-30.3402,-18.8752)
2807: (x,y)=(-31.2537,-18.4685)
2808: (x,y)=(-31.6121,-19.4021)
2809: (x,y)=(-32.4867,-19.8869)
2810: (x,y)=(-33.3254,-19.3422)
2811: (x,y)=(-33.9547,-18.5651)
2812: (x,y)=(-33.1356,-17.9915)
2813: (x,y)=(-32.4409,-17.2722)
2814: (x,y)=(-33.4395,-17.2198)
2815: (x,y)=(-32.494,-17.5454)
2816: (x,y)=(-31.5015,-17.6673)
2817: (x,y)=(-30.556,-17.9928)
2818: (x,y)=(-30.5211,-16.9934)
2819: (x,y)=(-31.2404,-17.6881)
2820: (x,y)=(-31.814,-18.5072)
2821: (x,y)=(-31.814,-19.5072)
2822: (x,y)=(-32.8017,-19.3508)
2823: (x,y)=(-32.7493,-18.3522)
2824: (x,y)=(-33.7153,-18.611)
2825: (x,y)=(-33.0333,-17.8796)
2826: (x,y)=(-32.1852,-18.4096)
2827: (x,y)=(-31.5834,-17.6109)
2828: (x,y)=(-32.2781,-16.8916)
2829: (x,y)=(-33.0972,-17.4652)
2830: (x,y)=(-34.0535,-17.7575)
2831: (x,y)=(-35.0148,-17.4819)
2832: (x,y)=(-34.4556,-18.3109)
2833: (x,y)=(-33.8128,-19.077)
2834: (x,y)=(-34.0884,-18.1157)
2835: (x,y)=(-33.9839,-19.1102)
2836: (x,y)=(-33.8275,-20.0979)
2837: (x,y)=(-33.7229,-21.0925)
2838: (x,y)=(-33.6011,-20.0999)
2839: (x,y)=(-34.6009,-20.0825)
2840: (x,y)=(-35.5886,-19.926)
2841: (x,y)=(-36.2179,-20.7032)
2842: (x,y)=(-36.7915,-19.884)
2843: (x,y)=(-36.5665,-18.9096)
2844: (x,y)=(-36.0665,-18.0436)
2845: (x,y)=(-35.2279,-17.499)
2846: (x,y)=(-34.8371,-16.5785)
2847: (x,y)=(-34.1944,-17.3445)
2848: (x,y)=(-35.1556,-17.6202)
2849: (x,y)=(-34.3076,-17.0902)
2850: (x,y)=(-33.6515,-16.3355)
2851: (x,y)=(-34.4806,-16.8947)
2852: (x,y)=(-33.4957,-17.0684)
2853: (x,y)=(-34.1251,-17.8455)
2854: (x,y)=(-33.9343,-18.8271)
2855: (x,y)=(-33.5435,-19.7476)
2856: (x,y)=(-33.9181,-18.8205)
2857: (x,y)=(-34.9029,-18.9941)
2858: (x,y)=(-33.9054,-19.0639)
2859: (x,y)=(-34.2637,-18.1303)
2860: (x,y)=(-34.5893,-17.1848)
2861: (x,y)=(-35.5404,-17.4938)
2862: (x,y)=(-36.5306,-17.633)
2863: (x,y)=(-35.5308,-17.6155)
2864: (x,y)=(-35.7387,-16.6374)
2865: (x,y)=(-34.7484,-16.7765)
2866: (x,y)=(-34.9734,-15.8022)
2867: (x,y)=(-35.0257,-14.8035)
2868: (x,y)=(-34.1269,-14.3652)
2869: (x,y)=(-34.0572,-13.3676)
2870: (x,y)=(-35.0275,-13.1257)
2871: (x,y)=(-35.0275,-12.1257)
2872: (x,y)=(-35.4815,-13.0167)
2873: (x,y)=(-35.6894,-13.9948)
2874: (x,y)=(-36.488,-13.393)
2875: (x,y)=(-37.297,-12.8052)
2876: (x,y)=(-37.0551,-11.8349)
2877: (x,y)=(-36.0735,-12.0257)
2878: (x,y)=(-37.0516,-11.8178)
2879: (x,y)=(-36.1528,-11.3795)
2880: (x,y)=(-35.962,-10.3978)
2881: (x,y)=(-35.2549,-11.1049)
2882: (x,y)=(-35.03,-10.1306)
2883: (x,y)=(-34.147,-10.6)
2884: (x,y)=(-34.4726,-11.5456)
2885: (x,y)=(-33.6534,-12.1191)
2886: (x,y)=(-33.5316,-11.1266)
2887: (x,y)=(-32.7544,-10.4973)
2888: (x,y)=(-33.4615,-9.79017)
2889: (x,y)=(-33.9914,-10.6382)
2890: (x,y)=(-33.8523,-11.6285)
2891: (x,y)=(-34.607,-10.9724)
2892: (x,y)=(-35.3263,-10.2778)
2893: (x,y)=(-35.6187,-9.32146)
2894: (x,y)=(-35.9933,-8.39428)
2895: (x,y)=(-36.9138,-8.00354)
2896: (x,y)=(-36.0566,-8.51858)
2897: (x,y)=(-35.1111,-8.84415)
2898: (x,y)=(-35.3019,-9.82578)
2899: (x,y)=(-35.6603,-10.7594)
2900: (x,y)=(-35.4353,-11.7337)
2901: (x,y)=(-35.9504,-10.8766)
2902: (x,y)=(-34.9844,-11.1354)
2903: (x,y)=(-34.515,-12.0183)
2904: (x,y)=(-34.3071,-12.9965)
2905: (x,y)=(-33.4684,-12.4518)
2906: (x,y)=(-34.3672,-12.0135)
2907: (x,y)=(-33.4013,-11.7546)
2908: (x,y)=(-33.7268,-12.7002)
2909: (x,y)=(-33.3522,-11.773)
2910: (x,y)=(-32.6091,-12.4421)
2911: (x,y)=(-33.3284,-13.1368)
2912: (x,y)=(-34.0104,-13.8681)
2913: (x,y)=(-33.7685,-12.8978)
2914: (x,y)=(-34.4246,-12.1431)
2915: (x,y)=(-35.4191,-12.2476)
2916: (x,y)=(-35.2112,-13.2258)
2917: (x,y)=(-36.1447,-12.8674)
2918: (x,y)=(-35.5712,-13.6866)
2919: (x,y)=(-34.828,-14.3557)
2920: (x,y)=(-34.6544,-13.3709)
2921: (x,y)=(-33.8063,-13.9008)
2922: (x,y)=(-32.8088,-13.8311)
2923: (x,y)=(-31.9516,-14.3461)
2924: (x,y)=(-31.5449,-15.2596)
2925: (x,y)=(-30.5503,-15.1551)
2926: (x,y)=(-29.7213,-14.5959)
2927: (x,y)=(-28.731,-14.4568)
2928: (x,y)=(-28.422,-15.4078)
2929: (x,y)=(-28.3349,-14.4116)
2930: (x,y)=(-27.8049,-15.2597)
2931: (x,y)=(-26.8104,-15.3642)
2932: (x,y)=(-26.0557,-14.7081)
2933: (x,y)=(-26.2121,-13.7204)
2934: (x,y)=(-25.8375,-14.6476)
2935: (x,y)=(-26.5322,-15.367)
2936: (x,y)=(-26.7571,-14.3926)
2937: (x,y)=(-26.0625,-13.6733)
2938: (x,y)=(-25.0922,-13.4313)
2939: (x,y)=(-24.2936,-12.8295)
2940: (x,y)=(-25.2271,-13.1879)
2941: (x,y)=(-25.6498,-14.0942)
2942: (x,y)=(-25.4418,-13.116)
2943: (x,y)=(-24.5847,-13.6311)
2944: (x,y)=(-25.0695,-12.7565)
2945: (x,y)=(-24.4538,-11.9685)
2946: (x,y)=(-24.6275,-10.9836)
2947: (x,y)=(-24.4367,-10.002)
2948: (x,y)=(-25.2353,-10.6038)
2949: (x,y)=(-24.9934,-11.5741)
2950: (x,y)=(-24.635,-12.5077)
2951: (x,y)=(-24.4958,-11.5174)
2952: (x,y)=(-24.6523,-10.5298)
2953: (x,y)=(-25.1217,-11.4127)
2954: (x,y)=(-24.5482,-10.5936)
2955: (x,y)=(-24.3745,-9.60874)
2956: (x,y)=(-24.3222,-8.61011)
2957: (x,y)=(-25.3208,-8.66245)
2958: (x,y)=(-25.46,-7.67218)
2959: (x,y)=(-25.5819,-6.67964)
2960: (x,y)=(-24.5832,-6.6273)
2961: (x,y)=(-25.4662,-6.15783)
2962: (x,y)=(-25.8569,-7.07833)
2963: (x,y)=(-25.5981,-8.04426)
2964: (x,y)=(-25.7717,-9.02907)
2965: (x,y)=(-25.1289,-9.79511)
2966: (x,y)=(-25.5984,-8.91216)
2967: (x,y)=(-26.5547,-8.61979)
2968: (x,y)=(-27.4752,-9.01052)
2969: (x,y)=(-27.8498,-8.08334)
2970: (x,y)=(-28.7159,-8.58334)
2971: (x,y)=(-29.0905,-7.65616)
2972: (x,y)=(-28.5169,-6.837)
2973: (x,y)=(-27.6688,-6.30708)
2974: (x,y)=(-28.6432,-6.08213)
2975: (x,y)=(-29.0816,-6.98093)
2976: (x,y)=(-28.4659,-7.76894)
2977: (x,y)=(-28.0913,-8.69612)
2978: (x,y)=(-28.5913,-7.8301)
2979: (x,y)=(-29.4485,-8.34513)
2980: (x,y)=(-28.5497,-7.90676)
2981: (x,y)=(-27.6225,-7.53216)
2982: (x,y)=(-28.4315,-8.11994)
2983: (x,y)=(-29.2195,-8.7356)
2984: (x,y)=(-28.2536,-8.99442)
2985: (x,y)=(-29.2481,-8.88989)
2986: (x,y)=(-30.0468,-8.28808)
2987: (x,y)=(-30.9214,-8.77289)
2988: (x,y)=(-30.563,-9.70647)
2989: (x,y)=(-30.0935,-8.82352)
2990: (x,y)=(-31.0679,-8.59857)
2991: (x,y)=(-30.3988,-7.85543)
2992: (x,y)=(-31.326,-8.23003)
2993: (x,y)=(-30.8565,-7.34708)
2994: (x,y)=(-29.8662,-7.20791)
2995: (x,y)=(-30.4109,-8.04658)
2996: (x,y)=(-30.7032,-9.00289)
2997: (x,y)=(-31.6994,-9.09004)
2998: (x,y)=(-30.8608,-8.5454)
2999: (x,y)=(-31.6379,-7.91608)
3000: (x,y)=(-30.7043,-7.55772)
3001: (x,y)=(-30.5135,-6.57609)
3002: (x,y)=(-29.5476,-6.31727)
3003: (x,y)=(-30.0476,-5.45124)
3004: (x,y)=(-30.7167,-4.7081)
3005: (x,y)=(-31.673,-5.00047)
3006: (x,y)=(-30.9659,-5.70758)
3007: (x,y)=(-29.9714,-5.81211)
3008: (x,y)=(-30.0759,-6.80663)
3009: (x,y)=(-30.905,-6.24743)
3010: (x,y)=(-31.7241,-6.82101)
3011: (x,y)=(-31.0421,-6.08966)
3012: (x,y)=(-32.0034,-6.3653)
3013: (x,y)=(-31.1204,-6.83477)
3014: (x,y)=(-30.5469,-7.65392)
3015: (x,y)=(-30.3904,-8.64161)
3016: (x,y)=(-30.9922,-9.44024)
3017: (x,y)=(-29.9977,-9.54477)
3018: (x,y)=(-30.7638,-10.1876)
3019: (x,y)=(-29.7894,-10.4125)
3020: (x,y)=(-28.8984,-9.95852)
3021: (x,y)=(-27.9648,-10.3169)
3022: (x,y)=(-28.9573,-10.4388)
3023: (x,y)=(-28.5347,-11.3451)
3024: (x,y)=(-29.4619,-10.9705)
3025: (x,y)=(-29.5491,-9.97426)
3026: (x,y)=(-29.6362,-8.97807)
3027: (x,y)=(-28.6362,-8.97807)
3028: (x,y)=(-29.0902,-9.86907)
3029: (x,y)=(-28.9857,-8.87455)
3030: (x,y)=(-28.5009,-9.74917)
3031: (x,y)=(-27.6622,-10.2938)
3032: (x,y)=(-26.7876,-9.809)
3033: (x,y)=(-27.7779,-9.94818)
3034: (x,y)=(-27.7081,-8.95061)
3035: (x,y)=(-28.238,-9.79866)
3036: (x,y)=(-29.2342,-9.88581)
3037: (x,y)=(-28.7342,-10.7518)
3038: (x,y)=(-28.0651,-11.495)
3039: (x,y)=(-28.3575,-10.5387)
3040: (x,y)=(-29.278,-10.1479)
3041: (x,y)=(-29.3825,-9.15343)
3042: (x,y)=(-28.5253,-9.66847)
3043: (x,y)=(-27.896,-8.89132)
3044: (x,y)=(-27.587,-9.84238)
3045: (x,y)=(-28.0096,-10.7487)
3046: (x,y)=(-28.7976,-10.133)
3047: (x,y)=(-27.9404,-10.6481)
3048: (x,y)=(-28.3944,-11.5391)
3049: (x,y)=(-27.8352,-12.3681)
3050: (x,y)=(-28.7557,-11.9774)
3051: (x,y)=(-29.2406,-11.1028)
3052: (x,y)=(-28.4525,-10.4871)
3053: (x,y)=(-29.2406,-9.87143)
3054: (x,y)=(-30.1541,-9.46469)
3055: (x,y)=(-29.1797,-9.68965)
3056: (x,y)=(-29.8225,-10.4557)
3057: (x,y)=(-30.7884,-10.7145)
3058: (x,y)=(-31.6271,-11.2591)
3059: (x,y)=(-30.6568,-11.0172)
3060: (x,y)=(-31.2996,-11.7833)
3061: (x,y)=(-32.1984,-12.2216)
3062: (x,y)=(-33.1547,-12.514)
3063: (x,y)=(-32.6852,-13.397)
3064: (x,y)=(-31.6866,-13.3446)
3065: (x,y)=(-30.705,-13.5354)
3066: (x,y)=(-31.5436,-14.0801)
3067: (x,y)=(-32.4708,-14.4547)
3068: (x,y)=(-33.248,-13.8254)
3069: (x,y)=(-33.702,-12.9344)
3070: (x,y)=(-32.9248,-12.305)
3071: (x,y)=(-33.3943,-11.4221)
3072: (x,y)=(-34.2931,-10.9837)
3073: (x,y)=(-34.0343,-11.9496)
3074: (x,y)=(-33.6435,-12.8701)
3075: (x,y)=(-33.5044,-13.8604)
3076: (x,y)=(-33.0196,-12.9858)
3077: (x,y)=(-32.7607,-12.0199)
3078: (x,y)=(-33.5594,-11.4181)
3079: (x,y)=(-34.5337,-11.1931)
3080: (x,y)=(-35.2408,-10.486)
3081: (x,y)=(-34.4861,-11.1421)
3082: (x,y)=(-34.2442,-10.1718)
3083: (x,y)=(-35.0923,-9.64184)
3084: (x,y)=(-36.0582,-9.38302)
3085: (x,y)=(-36.317,-10.3489)
3086: (x,y)=(-37.2829,-10.6078)
3087: (x,y)=(-38.2791,-10.5206)
3088: (x,y)=(-37.3881,-10.0666)
3089: (x,y)=(-36.3936,-10.1711)
3090: (x,y)=(-35.5276,-10.6711)
3091: (x,y)=(-34.9684,-11.5002)
3092: (x,y)=(-34.3806,-10.6912)
3093: (x,y)=(-34.4678,-11.6874)
3094: (x,y)=(-35.3949,-11.3128)
3095: (x,y)=(-35.7205,-10.3672)
3096: (x,y)=(-34.9545,-9.72445)
3097: (x,y)=(-35.7931,-9.17981)
3098: (x,y)=(-36.3523,-8.35077)
3099: (x,y)=(-36.3698,-7.35092)
3100: (x,y)=(-36.4743,-6.3564)
3101: (x,y)=(-35.513,-6.63204)
3102: (x,y)=(-36.5106,-6.56228)
3103: (x,y)=(-36.2518,-5.59636)
3104: (x,y)=(-35.4037,-5.06644)
3105: (x,y)=(-36.3819,-4.85853)
3106: (x,y)=(-37.3722,-4.9977)
3107: (x,y)=(-36.4159,-4.70533)
3108: (x,y)=(-37.1706,-4.04927)
3109: (x,y)=(-36.1744,-3.96211)
3110: (x,y)=(-35.3653,-3.37433)
3111: (x,y)=(-35.4872,-2.38178)
3112: (x,y)=(-34.4927,-2.27725)
3113: (x,y)=(-33.4982,-2.17272)
3114: (x,y)=(-32.5105,-2.32916)
3115: (x,y)=(-32.4233,-3.32535)
3116: (x,y)=(-31.6462,-2.69603)
3117: (x,y)=(-32.3893,-3.36516)
3118: (x,y)=(-32.6313,-2.39487)
3119: (x,y)=(-32.9896,-3.32845)
3120: (x,y)=(-33.6716,-4.0598)
3121: (x,y)=(-34.4263,-4.71586)
3122: (x,y)=(-34.0196,-5.62941)
3123: (x,y)=(-34.4891,-4.74646)
3124: (x,y)=(-34.1145,-3.81928)
3125: (x,y)=(-35.1047,-3.95845)
3126: (x,y)=(-34.1912,-4.36518)
3127: (x,y)=(-33.8656,-5.3107)
3128: (x,y)=(-34.3196,-6.20171)
3129: (x,y)=(-34.044,-7.16297)
3130: (x,y)=(-34.8211,-6.53365)
3131: (x,y)=(-35.1795,-7.46723)
3132: (x,y)=(-34.4848,-8.18657)
3133: (x,y)=(-34.6756,-7.20494)
3134: (x,y)=(-33.8565,-6.63137)
3135: (x,y)=(-34.7045,-6.10145)
3136: (x,y)=(-34.1746,-6.9495)
3137: (x,y)=(-33.376,-7.55131)
3138: (x,y)=(-32.3814,-7.44678)
3139: (x,y)=(-32.2943,-8.44298)
3140: (x,y)=(-32.6199,-9.3885)
3141: (x,y)=(-32.1048,-8.53133)
3142: (x,y)=(-31.2219,-8.06186)
3143: (x,y)=(-32.2194,-7.9921)
3144: (x,y)=(-31.6602,-8.82114)
3145: (x,y)=(-31.4694,-7.83951)
3146: (x,y)=(-32.4681,-7.89185)
3147: (x,y)=(-31.9833,-8.76647)
3148: (x,y)=(-32.9735,-8.90564)
3149: (x,y)=(-33.9612,-8.74921)
3150: (x,y)=(-34.7159,-8.09315)
3151: (x,y)=(-34.1713,-7.25448)
3152: (x,y)=(-33.8623,-6.30342)
3153: (x,y)=(-34.7283,-6.80342)
3154: (x,y)=(-35.344,-7.59143)
3155: (x,y)=(-35.5689,-6.61706)
3156: (x,y)=(-35.5166,-5.61843)
3157: (x,y)=(-35.6037,-4.62224)
3158: (x,y)=(-36.2055,-5.42087)
3159: (x,y)=(-35.7207,-4.54625)
3160: (x,y)=(-34.9016,-5.11983)
3161: (x,y)=(-34.328,-4.30068)
3162: (x,y)=(-34.9158,-3.49166)
3163: (x,y)=(-34.7766,-4.48193)
3164: (x,y)=(-35.6247,-3.95201)
3165: (x,y)=(-36.5906,-3.69319)
3166: (x,y)=(-36.5557,-2.6938)
3167: (x,y)=(-36.6949,-3.68407)
3168: (x,y)=(-35.6973,-3.61431)
3169: (x,y)=(-35.5754,-4.60686)
3170: (x,y)=(-34.5792,-4.69401)
3171: (x,y)=(-35.2353,-5.44872)
3172: (x,y)=(-35.1481,-6.44492)
3173: (x,y)=(-35.6021,-5.55391)
3174: (x,y)=(-34.6458,-5.26154)
3175: (x,y)=(-35.205,-6.09058)
3176: (x,y)=(-34.4737,-5.40858)
3177: (x,y)=(-35.3483,-5.89339)
3178: (x,y)=(-35.7867,-4.99459)
3179: (x,y)=(-35.0553,-5.67659)
3180: (x,y)=(-35.6145,-6.50563)
3181: (x,y)=(-35.4237,-5.524)
3182: (x,y)=(-35.1987,-6.49837)
3183: (x,y)=(-34.3507,-7.02829)
3184: (x,y)=(-35.0453,-7.74763)
3185: (x,y)=(-34.3022,-7.0785)
3186: (x,y)=(-35.2477,-6.75293)
3187: (x,y)=(-35.4041,-5.76524)
3188: (x,y)=(-35.0951,-4.81419)
3189: (x,y)=(-34.1679,-5.18879)
3190: (x,y)=(-35.0743,-4.76618)
3191: (x,y)=(-35.8623,-5.38184)
3192: (x,y)=(-34.8841,-5.17393)
3193: (x,y)=(-35.6502,-5.81671)
3194: (x,y)=(-36.4488,-6.41853)
3195: (x,y)=(-35.7797,-5.67538)
3196: (x,y)=(-36.736,-5.96775)
3197: (x,y)=(-36.6662,-4.97019)
3198: (x,y)=(-37.6607,-4.86566)
3199: (x,y)=(-37.9698,-3.91461)
